"center_code_anon","source_key_type","source_key_value","center_name","ministry","first_year_be","last_year_be","record_count"
"SCH_G3_0171","user_code","7277071404","รร.ตชด.นเรศวรป่าละอู","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0172","user_code","7277071408","รร.ตชด.บ้านแพรกตะคร้อ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0173","user_code","7277071409","รร.ตชด.บ้านคลองน้อย","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0174","user_code","7277081410","รร.ตชด.บ้านป่าหมาก","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0175","user_code","7280074207","ศกร.ตชด.บ้านหลังอ้ายหมี","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0176","user_code","7280084205","ศกร.ตชด.บ้านห้วยตง","สำนักงานตำรวจแห่งชาติ","2563","2568","5"
"SCH_G3_0177","user_code","7280134204","รร.ตชด.บ้านเขาวัง","สำนักงานตำรวจแห่งชาติ","2566","2568","3"
"SCH_G3_0178","user_code","7281044206","ศกร.ตชด.บ้านแผ่นดินเสมอ","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0179","user_code","7282194103","รร.ตชด.บ้านคลองวาย","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0180","user_code","7284064111","รร.ตชด.บ้านยางโพรง","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0181","user_code","7284074110","รร.ตชด.บ้านกอเตย","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0182","user_code","7284164101","รร.ตชด.เทคนิคมีนบุรีอนุสรณ์ 1","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0183","user_code","7284164109","รร.ตชด.บ้านควนสามัคคี","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
"SCH_G3_0184","user_code","7286024102","รร.ตชด.สันตินิมิตร","สำนักงานตำรวจแห่งชาติ","2563","2568","6"
